miss	PROPN
manette	PROPN
your	DET
mother	NOUN
took	VERB
this	DET
course	NOUN
with	ADP
you	PRON
 
ever	ADV
live	VERB
by	ADP
play	NOUN
 
it	PRON
was	VERB
nothing	PRON
that	SCONJ
the	DET
decree	NOUN
bore	NOUN
date	NOUN
since	SCONJ
his	DET
return	NOUN
to	ADP
france	PROPN
 
now	ADV
mr	PROPN
cruncher	PROPN
 
does	AUX
madame	PROPN
go	VERB
with	ADP
us	PRON
 
carton	PROPN
still	ADV
had	VERB
his	DET
hand	NOUN
in	ADP
his	DET
breast	NOUN
 
i	PRON
mean	VERB
i	PRON
am	VERB
a	DET
man	NOUN
of	ADP
moremoresay	PROPN
gallantry	NOUN
while	SCONJ
you	PRON
are	VERB
about	ADP
it	PRON
suggested	VERB
carton	PROPN
 
apparently	ADV
mr	PROPN
cruncher	PROPN
did	VERB
to	PART
judge	VERB
from	ADP
his	DET
looks	NOUN
 
men	NOUN
and	CCONJ
women	NOUN
danced	VERB
together	ADV
women	NOUN
danced	VERB
together	ADV
men	NOUN
danced	VERB
together	ADV
as	SCONJ
hazard	NOUN
had	AUX
brought	VERB
them	PRON
together	ADV
 
they	PRON
are	VERB
very	ADV
numerous	ADJ
and	CCONJ
very	ADV
loud	ADJ
though	ADV
are	VERB
they	PRON
not	PART
 
if	SCONJ
that	DET
be	VERB
so	ADV
do	AUX
you	PRON
see	VERB
what	PRON
on	ADP
the	DET
other	ADJ
hand	NOUN
is	AUX
involved	VERB
in	ADP
it	PRON
 
nine	NUM
gone	VERB
for	ADP
ever	ADV
ten	NUM
gone	VERB
for	ADP
ever	ADV
eleven	NUM
gone	VERB
for	ADP
ever	ADV
twelve	NUM
coming	VERB
on	ADP
to	PART
pass	VERB
away	ADV
 
in	ADP
the	DET
meantime	NOUN
it	PRON
is	AUX
always	ADV
preparing	VERB
though	SCONJ
it	PRON
is	AUX
not	PART
seen	VERB
or	CCONJ
heard	VERB
 
do	AUX
n’t	PART
be	AUX
alarmed	VERB
my	DET
dear	ADJ
miss	PROPN
pross	PROPN
 
keep	VERB
your	DET
eyes	NOUN
upon	SCONJ
me	PRON
dear	ADJ
child	NOUN
and	CCONJ
mind	NOUN
no	DET
other	ADJ
object	NOUN
 
confident	ADJ
in	ADP
his	DET
power	NOUN
cautiously	ADV
persistent	ADJ
in	ADP
his	DET
end	NOUN
never	ADV
doubting	VERB
that	SCONJ
he	PRON
would	AUX
save	VERB
lucie	PROPN
’s	PART
husband	NOUN
at	ADP
last	ADV
 
said	VERB
madame	NOUN
composed	VERB
as	ADV
ever	ADV
but	CCONJ
not	ADV
knitting	VERB
today	NOUN
 
he	PRON
said	VERB
farewell	NOUN
 
they	PRON
were	AUX
not	PART
agreed	VERB
and	CCONJ
wished	VERB
to	PART
retire	VERB
 
what	PRON
did	AUX
the	DET
two	NUM
then	ADV
to	PART
persuade	VERB
her	DET
husband	NOUN
to	PART
use	VERB
his	DET
influence	NOUN
with	ADP
her	PRON
to	PART
make	VERB
her	PRON
willing	ADJ
 
state	VERB
your	DET
reason	NOUN
 
’	PUNCT
he	PRON
answered	VERB
with	ADP
great	ADJ
contempt	NOUN
‘	PUNCT
no	INTJ
 
when	ADV
is	AUX
it	PRON
dated	VERB
 
rot	VERB
the	DET
admiration	NOUN
of	ADP
the	DET
whole	ADJ
court	NOUN
 
honore	PROPN
he	PRON
said	VERB
 
heaven	NOUN
grant	VERB
i	PRON
may	VERB
carton	PROPN
 
it	PRON
was	VERB
the	DET
last	ADJ
day	NOUN
of	ADP
the	DET
year	NOUN
 
he	PRON
added	VERB
again	ADV
after	ADP
a	DET
peal	NOUN
of	ADP
thunder	NOUN
 
go	VERB
and	CCONJ
see	VERB
him	PRON
when	ADV
he	PRON
has	VERB
a	DET
good	ADJ
batch	NOUN
 
you	PRON
have	AUX
seen	VERB
him	PRON
at	ADP
work	NOUN
 
so	ADV
oppressed	VERB
tooas	NOUN
you	PRON
say	VERB
 
do	AUX
you	PRON
seek	VERB
any	DET
guidance	NOUN
from	ADP
me	PRON
 
asked	VERB
mr	PROPN
lorry	PROPN
 
that	DET
was	AUX
well	ADV
done	VERB
 
he	PRON
is	AUX
so	ADV
droll	NOUN
that	DET
samson	PROPN
 
‘	PUNCT
is	VERB
she	PRON
dead	ADJ
 
miss	PROPN
pross	PROPN
submitting	VERB
herself	PRON
to	ADP
his	DET
judgment	NOUN
the	DET
scheme	NOUN
was	AUX
worked	VERB
out	ADP
with	ADP
care	NOUN
 
croaked	VERB
the	DET
man	NOUN
with	ADP
the	DET
craving	NOUN
 
wasted	VERB
my	DET
child	NOUN
should	AUX
not	PART
be	AUX
wasted	VERB
struck	VERB
aside	ADV
from	ADP
the	DET
natural	ADJ
order	NOUN
of	ADP
things	NOUN
for	ADP
my	DET
sake	NOUN
 
i	PRON
believe	VERB
so	ADV
 
what	PRON
was	AUX
it	PRON
 
it	PRON
is	VERB
better	ADJ
as	SCONJ
it	PRON
is	VERB
 
said	VERB
the	DET
uncle	NOUN
 
it	PRON
being	AUX
all	DET
spent	VERB
he	PRON
said	VERB
rising	VERB
 
i	PRON
can	AUX
’t	PART
see	VERB
 
if	SCONJ
i	PRON
might	VERB
embrace	VERB
him	PRON
once	ADV
 
i	PRON
know	VERB
my	DET
dear	NOUN
i	PRON
know	VERB
 
say	VERB
then	ADV
my	DET
friend	NOUN
what	PRON
did	AUX
jacques	PROPN
of	ADP
the	DET
police	NOUN
tell	VERB
thee	PRON
 
and	CCONJ
it	PRON
’s	VERB
really	ADV
very	ADV
hard	ADJ
said	VERB
miss	PROPN
pross	PROPN
 
respectin	PROPN
’	PUNCT
any	DET
present	ADJ
use	NOUN
o	X
’	PUNCT
this	DET
here	ADV
blessed	VERB
old	ADJ
head	NOUN
o	NOUN
’	PUNCT
mine	PRON
i	PRON
think	VERB
not	PART
 
it	PRON
would	AUX
cost	VERB
nothing	PRON
to	PART
lay	VERB
down	ADP
if	SCONJ
it	PRON
were	VERB
not	PART
 
he	PRON
made	VERB
no	DET
effort	NOUN
to	PART
say	VERB
why	ADV
not	PART
and	CCONJ
said	VERB
not	PART
a	DET
word	NOUN
more	ADJ
 
you	PRON
remember	VERB
coming	VERB
up	ADP
here	ADV
 
mr	PROPN
cruncher	PROPN
himself	PRON
always	ADV
spoke	VERB
of	ADP
the	DET
year	NOUN
of	ADP
our	DET
lord	NOUN
as	SCONJ
anna	PROPN
dominoes	PROPN
 
they	PRON
both	DET
knew	VERB
too	ADV
well	ADV
what	PRON
it	PRON
meant	VERB
 
the	DET
tall	ADJ
man	NOUN
is	VERB
lost	VERB
and	CCONJ
he	PRON
is	AUX
sought	VERB
how	ADV
many	ADJ
months	NOUN
 
i	PRON
wish	VERB
i	PRON
were	AUX
going	VERB
myself	PRON
said	VERB
charles	PROPN
darnay	PROPN
somewhat	ADV
restlessly	ADV
and	CCONJ
like	INTJ
one	NUM
thinking	VERB
aloud	ADV
 
on	ADP
the	DET
top	NOUN
of	ADP
the	DET
gallows	NOUN
is	AUX
fixed	VERB
the	DET
knife	NOUN
blade	NOUN
upwards	ADV
with	ADP
its	DET
point	NOUN
in	ADP
the	DET
air	NOUN
 
there	PRON
is	VERB
no	DET
patriot	NOUN
in	ADP
